8160934,2,2
8180341,3,9
8215865,7,10
8104794,5,10
8105399,6,4
8160934,3,10
8192038,2,5
8105399,4,4
8139403,1,7
8209401,3,10
8105382,3,8
8180341,1,4
8120432,8,51
8192038,3,4
8118504,5,10
8160934,7,9
8105382,8,42
8120432,4,1
8139403,2,3
8104329,5,10
8162903,1,5
8105399,8,60
8105399,7,9
8192038,8,35
8104794,1,9
8195231,4,5
8104794,7,10
8160934,1,7
8160934,8,56
8195231,2,3
8139403,3,8
8195231,1,9
8209401,8,44
8215865,8,59
8104329,4,5
8120432,5,9
8192038,6,5
8104329,3,9
8105382,1,5
8162903,7,6
8105399,2,5
8180341,7,9
8209401,5,7
8120432,7,9
8180341,8,49
8192038,7,9
8105382,6,5
8120432,3,4
8201034,5,2
8180341,2,4
8162903,4,2
8160934,6,5
8162903,2,3
8195231,5,6
8104794,8,41
8120432,1,7
8209401,1,7
8215865,3,6
8118504,6,2
8118504,8,28
8201034,2,2
8120432,6,5
8139403,6,2
8195231,3,9
8180341,4,5
8195231,8,36
8105382,7,6
8105399,3,9
8160934,5,9
8209401,6,4
8209401,7,8
8162903,6,4
8195231,7,6
8139403,5,9
8192038,5,4
8215865,1,10
8118504,3,10
8104329,7,2
8104329,8,39
8118504,2,2
8139403,8,56
8104329,1,4
8201034,8,31
8104329,3,1,1,1,1,1,1,1,1,1,1,1
8201034,6,5
8162903,3,6
8104794,6,3
8215865,2,5
8104329,2,5
8201034,3,7
8209401,2,4
8201034,4,0
8105382,5,6
8104794,2,5
8120432,2,2
8104794,3,5
8105399,1,7
8160934,4,4
8162903,8,42
bad,data,here
8118504,7,7
8201034,7,10
8104794,4,5
8180341,6,4
8201034,1,9
8192038,4,3
8209401,4,1
8118504,1,6
8215865,5,10
8105382,4,5
8162903,5,7
8105399,5,9
8139403,7,9
8215865,4,3
8192038,1,7
8105382,2,2
8215865,6,5
8180341,5,10
8104329,6,4
8118504,4,4
8195231,6,5
8139403,4,2
